reg_number,contract_info_id,status,customer,price,supplier_name,supplier_inn,supplier_kpp,supplier_address,supplier_phone,supplier_email
№ 3645004916625000035,103037211,Исполнение завершено,"КОМИТЕТ ПО ЖИЛИЩНО-КОММУНАЛЬНОМУ ХОЗЯЙСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД САРАТОВ""",479019.89,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛГАПРОЕКТИНЖИНИРИНГ"" (ООО ""ВОЛГАПРОЕКТИНЖИНИРИНГ"")",6454124495,645401001,,6454124495,
№ 2300101131426000001,109136198,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""АХТУБИНСКАЯ РАЙОННАЯ ВЕТЕРИНАРНАЯ СТАНЦИЯ""",807418.51,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АСТРАХАНСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ"" (ПАО ""АСТРАХАНСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ"")",3017041554,302501001,,3017041554,
№ 2920402235126000046,108560213,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СЕВАСТОПОЛЯ ""ГОРОДСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА""",380006.4,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕСТЛАБ"" (ООО ""ТЕСТЛАБ"")",6165164139,616701001,,6165164139,
№ 3090000813026000079,109063033,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ КАРАЧАЕВСКОГО ГОРОДСКОГО ОКРУГА""",6900.0,БОТАШЕВА МАРИНА ХАНАФИЕВНА,0916900634,,,091690063476,
№ 2060200693026000256,108236215,Исполнение завершено,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ ИНГУШЕТИЯ,1464777.6,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ БФ"" (ООО ""ТОРГОВЫЙ ДОМ БФ"")",4003032047,772201001,,4003032047,
№ 3440110690026000137,108454506,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА КОСТРОМЫ ""КОСТРОМАСТРОЙЗАКАЗЧИК""",24400.0,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КОСТРОМСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА КОСТРОМСКОЙ ОБЛАСТИ"" (ГАУ ""КОСТРОМАГОСЭКСПЕРТИЗА"")",4401074247,440101001,,4401074247,
№ 2920402235126000019,108102463,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СЕВАСТОПОЛЯ ""ГОРОДСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА""",155970.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ""МЕГАТЕКС"" (ООО ""КОМПАНИЯ ""МЕГАТЕКС"")",2635094541,263501001,,2635094541,
№ 3230601727726000082,107217660,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЕЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ",75171.55,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МСИТ-ЮГ"" (ООО ""МСИТ-ЮГ"")",2315185140,231501001,,2315185140,
№ 2325052414726000027,109024007,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ДОМАМИ АДМИНИСТРАЦИИ БРЯНСКОЙ ОБЛАСТИ""",64998.96,ДОЛЯ НАТАЛЬЯ ВИКТОРОВНА,2204098814,,,220409881437,
№ 2060200693026000191,107726862,Исполнение завершено,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ ИНГУШЕТИЯ,1464777.6,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ БФ"" (ООО ""ТОРГОВЫЙ ДОМ БФ"")",4003032047,772201001,,4003032047,
