reg_number,contract_info_id,status,customer,price,supplier_name,supplier_inn,supplier_kpp,supplier_address,supplier_phone,supplier_email
№ 2771620978225000064,105923349,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ  ""ШКОЛА № 293 ИМЕНИ А.Т. ТВАРДОВСКОГО""","7 124,78 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХОЗБЫТХИМ ТОРГОВО ПРОМЫШЛЕННЫЙ"" (ООО ""ХОЗБЫТХИМ ТП"")ИНН:7734527604КПП:772001001",7734527604,772001001,"111141, Г.МОСКВА, УЛ. ПЕРОВСКАЯ, Д.42Б","111141, Г МОСКВА, УЛ ПЕРОВСКАЯ, 42Б",
№ 2772941797326000002,107195209,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ШКОЛА НА ПРОСПЕКТЕ ВЕРНАДСКОГО""","194 844,95 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРКАДА"" (ООО ""АРКАДА"")ИНН:3300019671КПП:330001001",3300019671,330001001,"600001, ВЛАДИМИРСКАЯ ОБЛАСТЬ, г.о. ГОРОД ВЛАДИМИР, Г ВЛАДИМИР, ПР-КТ ЛЕНИНА, Д. 15А, ПОМЕЩ. 29, ОФИС 208","600001, ВЛАДИМИРСКАЯ ОБЛАСТЬ, Г. ВЛАДИМИР, ПР-КТ ЛЕНИНА, Д. 15А, ПОМЕЩ. 29",
№ 2502406865626000619,108577017,Исполнение завершено,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ЕДИНОГО ЗАКАЗЧИКА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ""","54 276 465,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕКТЕСТ"" (ООО ""АЛЕКТЕСТ"")ИНН:7751198452КПП:775101001",7751198452,775101001,"108814, Г.МОСКВА, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ КОММУНАРКА, Ш. КАЛУЖСКОЕ, КМ 24-Й, Д. 1, СТР. 1, ПОМЕЩ. 10Н/7","108814, г. Москва, а/я 2600",
№ 1390301277126000013,108625810,Исполнение завершено,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 9 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО КАЛИНИНГРАДСКОЙ ОБЛАСТИ""","204 124,81 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННО-ТОРГОВАЯ КОМПАНИЯ ""БОГАТЫРЬ"" (ООО ""ПТК ""БОГАТЫРЬ"")ИНН:3906276187КПП:390601001",3906276187,390601001,"236029, КАЛИНИНГРАДСКАЯ ОБЛАСТЬ, г.о. ГОРОД КАЛИНИНГРАД, Г КАЛИНИНГРАД, УЛ ОЗЕРНАЯ, Д. 41А, КВ. 75","236004, КАЛИНИНГРАДСКАЯ ОБЛАСТЬ, Г. КАЛИНИНГРАД, УЛ. ДЗЕРЖИНСКОГО, Д. 73",
№ 2057200989025000001,100409076,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ ДАГЕСТАН ""ДАГЕСТАНСКИЙ КАДРОВЫЙ ЦЕНТР""","40 000,00 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДАГЕСТАНСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ"" (ФГБОУ ВО ""ДГТУ"")ИНН:0562044246КПП:057201001",0562044246,057201001,"367015, РЕСПУБЛИКА ДАГЕСТАН, Г. МАХАЧКАЛА, ПР-КТ ИМАМА ШАМИЛЯ, Д.70","367026, Республика Дагестан, г. Махачкала, пр. Имама Шамиля, 70",
№ 2057200989025000007,100409496,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ ДАГЕСТАН ""ДАГЕСТАНСКИЙ КАДРОВЫЙ ЦЕНТР""","135 999,96 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДАГЕСТАНСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ"" (ФГБОУ ВО ""ДГТУ"")ИНН:0562044246КПП:057201001",0562044246,057201001,"367015, РЕСПУБЛИКА ДАГЕСТАН, Г. МАХАЧКАЛА, ПР-КТ ИМАМА ШАМИЛЯ, Д.70","367026, Республика Дагестан, г. Махачкала, пр. Имама Шамиля, 70",
№ 2781412658026000008,109102587,Исполнение завершено,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МЕДИЦИНСКИЙ ТЕХНИКУМ № 9""","314 400,00 ₽",АНДРЕЕВА ГАЛИНА ГЕННАДЬЕВНАИндивидуальный предпринимательИНН:781710933966,781710933966,,"196655, Г.САНКТ-ПЕТЕРБУРГ, вн.тер.г. ГОРОД КОЛПИНО, УЛ. ОКТЯБРЬСКАЯ, Д. 67, ЛИТЕРА А, КВ. 95","196655, Г.САНКТ-ПЕТЕРБУРГ, вн.тер.г. ГОРОД КОЛПИНО,  УЛ ОКТЯБРЬСКАЯ, Д. 67,  КВ. 95",
№ 3421703060025000009,106779149,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 118""","33 589,18 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВАЯ ПРОДОВОЛЬСТВЕННАЯ КОМПАНИЯ"" (ООО ""ППК"")ИНН:4205401836КПП:420501001",4205401836,420501001,"650033, КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС, г.о. КЕМЕРОВСКИЙ, Г КЕМЕРОВО, УЛ РЕКОРДНАЯ, ЗД. 40","650033, КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС, г. Кемерово, ул. Рекордная, д. 40",
№ 2781615651026000004,108265259,Исполнение завершено,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 63 ФРУНЗЕНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,"39 086,10 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКАЙ"" (ООО ""СКАЙ"")ИНН:7805820841КПП:780501001",7805820841,780501001,"198216, Г.САНКТ-ПЕТЕРБУРГ, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ КНЯЖЕВО, ПР-КТ ЛЕНИНСКИЙ, Д. 140, ЛИТЕРА И, ПОМЕЩ. 1-Н","198216, Г.САНКТ-ПЕТЕРБУРГ, ПР-КТ ЛЕНИНСКИЙ, Д. 140, ЛИТЕРА И, ПОМЕЩ. 1-Н",
№ 3470406371026000006,108542154,Исполнение завершено,АДМИНИСТРАЦИЯ ВЫБОРГСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ,"48 910,27 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОПРОЕКТ ВЫБОРГ"" (ООО ""ЭНЕРГОПРОЕКТ ВЫБОРГ"")ИНН:4704109192КПП:470401001",4704109192,470401001,"188800, ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, м.р-н. ВЫБОРГСКИЙ, ВЫБОРГСКОЕ, Г ВЫБОРГ, Ш ЛЕНИНГРАДСКОЕ, Д. 10А, ПОМЕЩ. 1, ОФИС 3","188800, Ленинградская обл., г. Выборг, Ленинградское ш., д.10А, помещ.1, офис 3",
