reg_number,contract_info_id,status,customer,price,supplier_name,supplier_inn,supplier_kpp,supplier_address,supplier_phone,supplier_email,customer_group,customer_section,supplier_group,supplier_section,customer_group_name,customer_section_name,supplier_group_name,supplier_section_name
№ 3645004916625000035,103037211,Исполнение завершено,"КОМИТЕТ ПО ЖИЛИЩНО-КОММУНАЛЬНОМУ ХОЗЯЙСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД САРАТОВ""",479019.89,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛГАПРОЕКТИНЖИНИРИНГ"" (ООО ""ВОЛГАПРОЕКТИНЖИНИРИНГ"")",6454124495.0,645401001.0,,6454124495,,46,G,43,F,Оптовая торговля,Торговля оптовая и розничная,Специализированные строительные работы,Строительство
№ 2300101131426000001,109136198,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""АХТУБИНСКАЯ РАЙОННАЯ ВЕТЕРИНАРНАЯ СТАНЦИЯ""",807418.51,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АСТРАХАНСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ"" (ПАО ""АСТРАХАНСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ"")",3017041554.0,302501001.0,,3017041554,,84,O,35,D,Государственное управление,Государственное управление и безопасность,"Электроэнергия, газ и пар","Электроэнергия, газ и пар"
№ 2920402235126000046,108560213,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СЕВАСТОПОЛЯ ""ГОРОДСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА""",380006.4,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕСТЛАБ"" (ООО ""ТЕСТЛАБ"")",6165164139.0,616701001.0,,6165164139,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 3090000813026000079,109063033,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ КАРАЧАЕВСКОГО ГОРОДСКОГО ОКРУГА""",6900.0,БОТАШЕВА МАРИНА ХАНАФИЕВНА,916900634.0,,,091690063476,,84,O,IP,IP,Государственное управление,Государственное управление и безопасность,ИП / Физлицо,ИП / Физлицо
№ 2060200693026000256,108236215,Исполнение завершено,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ ИНГУШЕТИЯ,1464777.6,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ БФ"" (ООО ""ТОРГОВЫЙ ДОМ БФ"")",4003032047.0,772201001.0,,4003032047,,84,O,46,G,Государственное управление,Государственное управление и безопасность,Оптовая торговля,Торговля оптовая и розничная
№ 3440110690026000137,108454506,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА КОСТРОМЫ ""КОСТРОМАСТРОЙЗАКАЗЧИК""",24400.0,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КОСТРОМСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА КОСТРОМСКОЙ ОБЛАСТИ"" (ГАУ ""КОСТРОМАГОСЭКСПЕРТИЗА"")",4401074247.0,440101001.0,,4401074247,,41,F,43,F,Строительство зданий,Строительство,Специализированные строительные работы,Строительство
№ 2920402235126000019,108102463,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СЕВАСТОПОЛЯ ""ГОРОДСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА""",155970.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ""МЕГАТЕКС"" (ООО ""КОМПАНИЯ ""МЕГАТЕКС"")",2635094541.0,263501001.0,,2635094541,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 3230601727726000082,107217660,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЕЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ",75171.55,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МСИТ-ЮГ"" (ООО ""МСИТ-ЮГ"")",2315185140.0,231501001.0,,2315185140,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 2325052414726000027,109024007,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ДОМАМИ АДМИНИСТРАЦИИ БРЯНСКОЙ ОБЛАСТИ""",64998.96,ДОЛЯ НАТАЛЬЯ ВИКТОРОВНА,2204098814.0,,,220409881437,,84,O,IP,IP,Государственное управление,Государственное управление и безопасность,ИП / Физлицо,ИП / Физлицо
№ 2060200693026000191,107726862,Исполнение завершено,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ ИНГУШЕТИЯ,1464777.6,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ БФ"" (ООО ""ТОРГОВЫЙ ДОМ БФ"")",4003032047.0,772201001.0,,4003032047,,84,O,46,G,Государственное управление,Государственное управление и безопасность,Оптовая торговля,Торговля оптовая и розничная
