source,target,money_flow
government,business_other,8341145349.33
healthcare,business_other,4654552892.53
government_other,business_other,3793039398.5499997
healthcare,healthcare_suppliers,3648435495.26
government,construction,3335155421.23
education,individual_entrepreneur,535723321.71
government,energy,452208721.43
healthcare,individual_entrepreneur,424645369.26
government,it_equipment,421640219.06999993
government_other,construction,377931235.2
education,construction,377559500.05
education,business_other,359293777.17
culture,business_other,304983201.13
government_other,healthcare_suppliers,250719511.95
healthcare,it_equipment,221320823.48
education,energy,210967118.48000002
government,individual_entrepreneur,181624888.52
government_other,individual_entrepreneur,158328233.24
healthcare,construction,117488492.60000001
government,healthcare_suppliers,99364211.84
government,waste_ecology,81829760.91
social,business_other,81106615.28999999
government_other,energy,67769333.46
education,it_equipment,65865547.24
housing_utilities,business_other,57590859.300000004
healthcare,energy,42642892.63
education,education_suppliers,36171647.9
housing_utilities,construction,35381109.65
government_other,water_utilities,16172602.850000001
government,security,14195204.38
government_other,it_equipment,11881931.73
education,water_utilities,10404751.25
social,energy,9707440.94
housing_utilities,individual_entrepreneur,9699552.67
culture,individual_entrepreneur,9285716.91
education,office_household,8316215.45
sports,individual_entrepreneur,8008246.03
education,security,7702701.010000001
social,individual_entrepreneur,6821955.27
sports,water_utilities,6007153.98
social,security,5576019.61
sports,business_other,4705221.1899999995
culture,energy,4675832.42
government,office_household,4652796.74
healthcare,security,4538799.6
social,healthcare_suppliers,4182985.8
culture,education_suppliers,3285261.55
housing_utilities,energy,2437938.13
government,water_utilities,2375640.76
culture,water_utilities,1823542.8499999999
social,it_equipment,1057424.96
sports,office_household,953800.0
housing_utilities,it_equipment,598465.75
government_other,education_suppliers,547064.85
culture,it_equipment,481971.0
education,healthcare_suppliers,423770.82
government_other,office_household,414544.76
healthcare,office_household,341728.33999999997
healthcare,water_utilities,245000.0
social,construction,199335.53
social,office_household,192651.46
education,waste_ecology,178333.86
healthcare,waste_ecology,127380.1
housing_utilities,security,108500.97
sports,waste_ecology,47089.12
social,education_suppliers,3525.7
government_other,waste_ecology,762.11
