source_section,source_group,source_group_name,target_section,target_group,target_group_name,money_flow
O,84,Государственное управление,G,46,Оптовая торговля,6480605430.04
Q,86,Здравоохранение,G,46,Оптовая торговля,4347475058.78
O,84,Государственное управление,J,61,Телекоммуникации,3821504161.5299997
O,84,Государственное управление,F,43,Специализированные строительные работы,1667649576.18
N,81,Обслуживание зданий и территорий,G,46,Оптовая торговля,1542859123.41
G,46,Оптовая торговля,F,41,Строительство зданий,1406601811.71
Q,86,Здравоохранение,C,21,Производство лекарств,1142358676.28
C,21,Производство лекарств,C,21,Производство лекарств,1062885103.88
O,84,Государственное управление,C,21,Производство лекарств,1008141124.1
C,21,Производство лекарств,G,46,Оптовая торговля,807783463.96
O,84,Государственное управление,F,41,Строительство зданий,558578404.19
O,84,Государственное управление,D,35,"Электроэнергия, газ и пар",506348556.55
P,85,Образование,IP,IP,ИП / Физлицо,492801225.5
Q,86,Здравоохранение,IP,IP,ИП / Физлицо,419666011.46
O,84,Государственное управление,J,63,Информационные технологии,336803816.80999994
O,84,Государственное управление,IP,IP,ИП / Физлицо,327534731.06
P,85,Образование,G,46,Оптовая торговля,297142642.8
Q,86,Здравоохранение,Q,86,Здравоохранение,233481182.06
P,85,Образование,F,41,Строительство зданий,208503713.36999997
R,91,"Библиотеки, музеи, архивы",G,46,Оптовая торговля,190771333.07999998
O,84,Государственное управление,H,52,Складское хозяйство,185479768.4
P,85,Образование,F,43,Специализированные строительные работы,155246178.16
P,85,Образование,D,35,"Электроэнергия, газ и пар",141190693.55
Q,86,Здравоохранение,F,41,Строительство зданий,111640310.16000001
D,35,"Электроэнергия, газ и пар",G,46,Оптовая торговля,98690074.03999999
G,46,Оптовая торговля,G,46,Оптовая торговля,94186360.7
R,93,Спорт и отдых,D,35,"Электроэнергия, газ и пар",59602402.75
O,84,Государственное управление,J,62,Разработка программного обеспечения,58585589.81
O,84,Государственное управление,O,84,Государственное управление,53299345.33
Q,86,Здравоохранение,D,35,"Электроэнергия, газ и пар",41906180.74
G,46,Оптовая торговля,A,02,Лесоводство и лесозаготовки,38859975.0
N,81,Обслуживание зданий и территорий,J,63,Информационные технологии,38596973.8
C,21,Производство лекарств,K,64,Финансовые услуги,36510352.19
P,85,Образование,J,58,Издательская деятельность,35584462.79
Q,87,Уход с обеспечением проживания,G,46,Оптовая торговля,34908669.99
Q,88,Социальные услуги,G,46,Оптовая торговля,34009134.660000004
F,41,Строительство зданий,F,41,Строительство зданий,33750531.370000005
R,93,Спорт и отдых,G,46,Оптовая торговля,32183906.669999998
N,81,Обслуживание зданий и территорий,F,41,Строительство зданий,30969289.369999997
N,80,Охрана и безопасность,J,62,Разработка программного обеспечения,30486750.0
N,80,Охрана и безопасность,G,46,Оптовая торговля,30055419.459999997
O,84,Государственное управление,R,93,Спорт и отдых,27582024.099999998
N,81,Обслуживание зданий и территорий,C,20,Производство химических веществ,27226621.01
F,41,Строительство зданий,G,46,Оптовая торговля,26233703.28
E,36,Водоснабжение,G,46,Оптовая торговля,26204891.19
O,84,Государственное управление,E,36,Водоснабжение,24503578.27
Q,86,Здравоохранение,N,81,Обслуживание зданий и территорий,24479606.93
Q,86,Здравоохранение,J,63,Информационные технологии,23146531.4
G,46,Оптовая торговля,IP,IP,ИП / Физлицо,22569911.099999998
G,46,Оптовая торговля,F,43,Специализированные строительные работы,22553530.73
N,80,Охрана и безопасность,F,41,Строительство зданий,20005000.0
G,46,Оптовая торговля,M,72,Научные исследования,19880419.0
K,65,Страхование,Q,86,Здравоохранение,19637444.8
